transactionItemId,transactionId,itemName,outQuantity ,inQuantity ,inDate,Last Update
txnitem260925121541,txn260925113158,FBC118,1,,,26/09/2025 12:15
txnitem260925121612,txn260925113158,FBC88,4,,,26/09/2025 12:16
txnitem260925121736,txn260925113158,FBC03,1,,,26/09/2025 12:17
txnitem260925122104,txn260925113158,FBC253,1,,,26/09/2025 12:21
txnitem260925122144,txn260925113158,FBC130,5,,,26/09/2025 12:21
txnitem260925122206,txn260925113158,FBC131,5,,,26/09/2025 12:22
txnitem260925122628,txn260925122605,FBC191,2,,,26/09/2025 12:36
txnitem260925122706,txn260925122605,SAB57407,2,,,26/09/2025 12:27
txnitem260925122732,txn260925122605,FBC35,1,,,26/09/2025 12:27
txnitem260925122750,txn260925122605,FBC24,1,,,26/09/2025 12:27
txnitem260925122818,txn260925122605,20116162,1,,,26/09/2025 12:28
txnitem260925123426,txn260925122605,FBC254,1,,,26/09/2025 12:34
txnitem260925123435,txn260925122605,FBC255,1,,,26/09/2025 12:34
txnitem260925123441,txn260925122605,FBC256,1,,,26/09/2025 12:34
txnitem260925123507,txn260925122605,KOGC125T,3,,,26/09/2025 12:35
txnitem260925123629,txn260925122605,BT100,1,,,26/09/2025 12:36
txnitem260925123718,txn260925122605,FBC130,5,,,26/09/2025 12:40
txnitem260925123730,txn260925122605,FBC131,4,,,26/09/2025 12:37
txnitem260925123928,txn260925122605,FBC154,1,,,26/09/2025 12:39
txnitem260925123943,txn260925122605,FBC151,1,,,26/09/2025 12:39
txnitem260925123958,txn260925122605,FBC152,1,,,26/09/2025 12:42
txnitem260925124252,txn260925122605,FBC153,1,,,26/09/2025 12:42
txnitem260925124326,txn260925122605,FBC89,1,,,26/09/2025 12:43
txnitem260925134111,txn260925134048,FBC192,3,,,26/09/2025 13:41
txnitem260925134134,txn260925134048,FBC193,1,,,26/09/2025 13:41
txnitem260925134212,txn260925134048,FBC191,1,,,26/09/2025 13:42
txnitem260925134451,txn260925134048,RRWC,1,,,26/09/2025 13:44
txnitem260925144513,txn260925134614,FBC261,1,,,26/09/2025 14:45
txnitem260925164152,txn260925091548,FBC146,2,,,26/09/2025 16:41
txnitem270925074644,txn270925074639,FBC120,3,,,27/09/2025 7:46
txnitem270925172409,txn270925172318,FBC277,5,,,27/09/2025 17:24
txnitem270925172418,txn270925172318,FBC279,1,,,27/09/2025 22:22
txnitem290925073707,txn290925073825,40011205,4,,,02/10/2025 15:30
txnitem290925073716,txn290925073825,FBC165,4,,,02/10/2025 15:30
txnitem290925120739,txn290925120721,FBDH1650,1,1,,10/10/2025 11:38
txnitem300925132933,txn300925132923,GA9020,1,,,30/09/2025 13:29
txnitem300925132943,txn300925132923,AGG051K,1,,,30/09/2025 13:29
txnitem300925133020,txn300925132923,FBCG14125,1,,,30/09/2025 13:30
txnitem300925133144,txn300925132923,FBCG20180,1,,,30/09/2025 13:31
